date,average_house_price_gbp,house_price_12m_change_pct,sales_volume,sales_volume_source,average_weekly_earnings_gbp,unemployment_rate_pct,cpi_annual_rate_pct,gdp_monthly_growth_pct,public_sector_net_borrowing_ex_banks_gbp_mn,bank_rate_month_end_pct
2009-01-01,157233.924,-15.36627031,31422.0,HPI Apr-2023 vintage,421.0,6.7,3.0,-0.8,7121.0,1.5
2009-02-01,155417.3852,-15.61871132,31888.0,HPI Apr-2023 vintage,409.0,7.1,3.2,-0.3,11329.0,1.0
2009-03-01,154452.3806,-15.52813298,41978.0,HPI Apr-2023 vintage,433.0,7.3,2.9,-1.0,14262.0,0.5
2009-04-01,155852.1556,-14.90363458,45378.33333,HPI Apr-2023 vintage,438.0,7.6,2.3,1.1,10904.0,0.5
2009-05-01,158004.4662,-14.25260601,52300.33333,HPI Apr-2023 vintage,437.0,7.8,2.2,-1.2,13571.0,0.5
2009-06-01,159561.0605,-12.24743446,60728.33333,HPI Apr-2023 vintage,438.0,7.9,1.8,0.2,16469.0,0.5
2009-07-01,162423.2686,-9.687182241,71336.33333,HPI Apr-2023 vintage,437.0,7.9,1.8,0.7,9266.0,0.5
2009-08-01,164025.3201,-6.852675071,65968.33333,HPI Apr-2023 vintage,438.0,7.8,1.6,-0.5,11977.0,0.5
2009-09-01,165313.7701,-3.696707954,66256.33333,HPI Apr-2023 vintage,439.0,7.9,1.1,0.5,16372.0,0.5
2009-10-01,166424.9027,-1.041877051,74416.0,HPI Apr-2023 vintage,439.0,7.8,1.5,0.1,14711.0,0.5
2009-11-01,166986.1487,2.165359631,69160.0,HPI Apr-2023 vintage,440.0,7.8,1.9,0.0,14231.0,0.5
2009-12-01,168081.6091,4.428204903,87202.0,HPI Apr-2023 vintage,440.0,7.7,2.9,0.5,21331.0,0.5
2010-01-01,167468.9299,6.509413308,41084.66667,HPI Apr-2023 vintage,439.0,7.9,3.5,-0.8,7697.0,0.5
2010-02-01,167887.6822,8.023746457,47347.66667,HPI Apr-2023 vintage,446.0,8.0,3.0,1.7,9831.0,0.5
2010-03-01,167877.9508,8.692368575,58046.66667,HPI Apr-2023 vintage,441.0,8.0,3.4,0.8,13191.0,0.5
2010-04-01,170027.8904,9.095629614,59554.66667,HPI Apr-2023 vintage,441.0,7.9,3.7,-0.2,9201.0,0.5
2010-05-01,170845.9251,8.127275905,59094.66667,HPI Apr-2023 vintage,443.0,7.9,3.4,0.4,13252.0,0.5
2010-06-01,171688.537,7.600523858,70936.66667,HPI Apr-2023 vintage,442.0,7.8,3.2,0.2,12019.0,0.5
2010-07-01,173427.1067,6.774791677,76003.0,HPI Apr-2023 vintage,443.0,7.8,3.1,0.1,9178.0,0.5
2010-08-01,173417.4578,5.726029244,69123.0,HPI Apr-2023 vintage,445.0,7.8,3.1,0.3,11540.0,0.5
2010-09-01,172972.0443,4.6325688,64886.0,HPI Apr-2023 vintage,446.0,7.9,3.1,0.2,15810.0,0.5
2010-10-01,171044.7244,2.775919727,66726.33333,HPI Apr-2023 vintage,447.0,7.9,3.2,0.4,14209.0,0.5
2010-11-01,169013.1436,1.213870084,63565.33333,HPI Apr-2023 vintage,448.0,7.9,3.3,-0.3,14831.0,0.5
2010-12-01,168702.7214,0.369530197,63541.33333,HPI Apr-2023 vintage,449.0,7.9,3.7,-0.9,17031.0,0.5
2011-01-01,167300.2404,-0.100728865,42399.0,HPI Apr-2023 vintage,458.0,7.8,4.0,0.5,1294.0,0.5
2011-02-01,166415.1603,-0.877087518,44207.0,HPI Apr-2023 vintage,453.0,7.8,4.4,0.5,9723.0,0.5
2011-03-01,165648.5379,-1.327996217,52889.0,HPI Apr-2023 vintage,453.0,7.7,4.0,0.2,13339.0,0.5
2011-04-01,168218.06,-1.064431485,57449.0,HPI Apr-2023 vintage,451.0,7.8,4.5,-0.9,11855.0,0.5
2011-05-01,167469.7143,-1.976172864,55691.0,HPI Apr-2023 vintage,453.0,7.9,4.5,1.0,9642.0,0.5
2011-06-01,167752.9093,-2.292306621,65290.0,HPI Apr-2023 vintage,456.0,8.0,4.2,0.0,9835.0,0.5
2011-07-01,169865.8121,-2.053482117,70316.0,HPI Apr-2023 vintage,456.0,8.2,4.4,0.2,4609.0,0.5
2011-08-01,169968.016,-1.989097208,72144.0,HPI Apr-2023 vintage,454.0,8.3,4.5,-0.4,9479.0,0.5
2011-09-01,169543.5734,-1.982095383,71811.0,HPI Apr-2023 vintage,454.0,8.4,5.2,0.3,13895.0,0.5
2011-10-01,167673.168,-1.971154838,65175.0,HPI Apr-2023 vintage,456.0,8.5,5.0,-0.8,12810.0,0.5
2011-11-01,167756.8878,-0.7432888,67798.0,HPI Apr-2023 vintage,457.0,8.4,4.8,1.1,11223.0,0.5
2011-12-01,167047.7706,-0.980986428,70770.0,HPI Apr-2023 vintage,457.0,8.4,4.2,0.7,13775.0,0.5
2012-01-01,165908.4809,-0.831893317,49493.33333,HPI Apr-2023 vintage,457.0,8.3,3.6,0.3,709.0,0.5
2012-02-01,165457.0798,-0.575717084,50099.33333,HPI Apr-2023 vintage,457.0,8.2,3.4,-0.8,10348.0,0.5
2012-03-01,165947.3274,0.180375592,69452.33333,HPI Apr-2023 vintage,457.0,8.2,3.5,0.6,12757.0,0.5
2012-04-01,167854.0205,-0.216409244,50094.33333,HPI Apr-2023 vintage,460.0,8.1,3.0,-0.7,21562.0,0.5
2012-05-01,168395.3676,0.552728799,59800.33333,HPI Apr-2023 vintage,460.0,8.0,2.8,1.5,12881.0,0.5
2012-06-01,170049.1636,1.368831278,68568.33333,HPI Apr-2023 vintage,462.0,8.0,2.4,-1.4,8903.0,0.5
2012-07-01,170701.1966,0.491790876,66631.0,HPI Apr-2023 vintage,463.0,7.9,2.6,1.7,2278.0,0.5
2012-08-01,170902.3776,0.549727905,73921.0,HPI Apr-2023 vintage,464.0,7.9,2.5,0.5,9954.0,0.5
2012-09-01,170295.1292,0.443281835,60043.0,HPI Apr-2023 vintage,462.0,7.9,2.2,-1.3,12946.0,0.5
2012-10-01,169089.5181,0.844708826,66842.0,HPI Apr-2023 vintage,462.0,7.8,2.7,0.4,11978.0,0.5
2012-11-01,169227.2509,0.8764845,72293.0,HPI Apr-2023 vintage,463.0,7.8,2.7,0.2,12067.0,0.5
2012-12-01,168842.8434,1.074586527,63795.0,HPI Apr-2023 vintage,461.0,7.8,2.7,-0.2,13878.0,0.5
2013-01-01,167715.5946,1.089223256,49129.0,HPI Apr-2023 vintage,462.0,8.0,2.7,-0.1,-89.0,0.5
2013-02-01,167682.4598,1.344989333,50648.0,HPI Apr-2023 vintage,462.0,7.8,2.8,0.9,7805.0,0.5
2013-03-01,168681.4684,1.647595636,62193.0,HPI Apr-2023 vintage,454.0,7.8,2.8,0.0,9398.0,0.5
2013-04-01,170335.3686,1.478277398,58520.66667,HPI Apr-2023 vintage,477.0,7.8,2.4,-0.1,11429.0,0.5
2013-05-01,171233.7538,1.685548868,75383.66667,HPI Apr-2023 vintage,468.0,7.7,2.7,0.4,9243.0,0.5
2013-06-01,172654.5105,1.532113951,75228.66667,HPI Apr-2023 vintage,466.0,7.7,2.9,0.2,8349.0,0.5
2013-07-01,174592.2607,2.279459182,82886.0,HPI Apr-2023 vintage,466.0,7.7,2.8,0.4,3627.0,0.5
2013-08-01,175982.2931,2.972407735,89695.0,HPI Apr-2023 vintage,466.0,7.6,2.7,0.2,8623.0,0.5
2013-09-01,176097.8275,3.407436405,79217.0,HPI Apr-2023 vintage,466.0,7.4,2.7,0.0,12058.0,0.5
2013-10-01,175378.3971,3.719260094,88422.0,HPI Apr-2023 vintage,466.0,7.2,2.2,0.6,11364.0,0.5
2013-11-01,176351.5657,4.20990992,95708.0,HPI Apr-2023 vintage,466.0,7.2,2.1,0.0,11488.0,0.5
2013-12-01,177970.632,5.406085534,90540.0,HPI Apr-2023 vintage,468.0,7.2,2.0,-0.5,10885.0,0.5
2014-01-01,178182.1947,6.240683912,75540.33333,HPI Apr-2023 vintage,469.0,6.9,1.9,0.3,271.0,0.5
2014-02-01,178921.4398,6.702537622,74421.33333,HPI Apr-2023 vintage,472.0,6.8,1.7,1.0,9533.0,0.5
2014-03-01,179536.8481,6.435431131,78289.33333,HPI Apr-2023 vintage,461.0,6.6,1.6,0.8,6281.0,0.5
2014-04-01,183531.6143,7.747214096,82047.66667,HPI Apr-2023 vintage,469.0,6.4,1.8,0.0,12608.0,0.5
2014-05-01,185476.4913,8.31771611,90738.66667,HPI Apr-2023 vintage,469.0,6.3,1.5,0.2,10144.0,0.5
2014-06-01,187077.4797,8.353659034,93993.66667,HPI Apr-2023 vintage,470.0,6.1,1.9,0.2,7916.0,0.5
2014-07-01,189709.2488,8.658452561,97288.0,HPI Apr-2023 vintage,468.0,6.0,1.6,0.5,3338.0,0.5
2014-08-01,191932.1115,9.063308643,101680.0,HPI Apr-2023 vintage,469.0,6.0,1.5,-0.1,8609.0,0.5
2014-09-01,192138.056,9.108703238,90912.0,HPI Apr-2023 vintage,473.0,6.0,1.2,0.5,13028.0,0.5
2014-10-01,191854.5777,9.394646603,100184.0,HPI Apr-2023 vintage,475.0,5.9,1.3,0.2,11243.0,0.5
2014-11-01,191209.195,8.425005588,86142.0,HPI Apr-2023 vintage,475.0,5.7,1.0,0.0,9009.0,0.5
2014-12-01,191669.3105,7.697156772,88917.0,HPI Apr-2023 vintage,478.0,5.7,0.5,0.5,12189.0,0.5
2015-01-01,190664.9416,7.005608464,66819.33333,HPI Apr-2023 vintage,476.0,5.6,0.3,-0.3,-3038.0,0.5
