forecast_origin,target_date,target_house_price_next_month_gbp,house_price_lag_1m_gbp,house_price_lag_3m_gbp,house_price_lag_12m_gbp,house_price_rolling_3m_mean_gbp,house_price_rolling_12m_mean_gbp,sales_volume_lag_1m,average_weekly_earnings_lag_1m_gbp,unemployment_rate_lag_1m_pct,cpi_annual_rate_lag_1m_pct,gdp_monthly_growth_lag_1m_pct,public_sector_net_borrowing_lag_1m_gbp_mn,bank_rate_lag_1m_pct,target_month_sin,target_month_cos
2009-12-01,2010-01-01,167468.9299,168081.6091,166424.9027,157233.924,167164.22016666667,161148.03261666666,87202.0,440.0,7.7,2.9,0.5,21331.0,0.5,0.49999999999999994,0.8660254037844387
2010-01-01,2010-02-01,167887.6822,167468.9299,166986.1487,155417.3852,167512.22923333335,162000.949775,41084.66667,439.0,7.9,3.5,-0.8,7697.0,0.5,0.8660254037844386,0.5000000000000001
2010-02-01,2010-03-01,167877.9508,167887.6822,168081.6091,154452.3806,167812.74039999998,163040.14119166668,47347.66667,446.0,8.0,3.0,1.7,9831.0,0.5,1.0,6.123233995736766e-17
2010-03-01,2010-04-01,170027.8904,167877.9508,167468.9299,155852.1556,167744.8543,164158.93870833333,58046.66667,441.0,8.0,3.4,0.8,13191.0,0.5,0.8660254037844387,-0.4999999999999998
2010-04-01,2010-05-01,170845.9251,170027.8904,167887.6822,158004.4662,168597.84113333336,165340.24994166667,59554.66667,441.0,7.9,3.7,-0.2,9201.0,0.5,0.49999999999999994,-0.8660254037844387
2010-05-01,2010-06-01,171688.537,170845.9251,167877.9508,159561.0605,169583.9221,166410.37151666667,59094.66667,443.0,7.9,3.4,0.4,13252.0,0.5,1.2246467991473532e-16,-1.0
2010-06-01,2010-07-01,173427.1067,171688.537,170027.8904,162423.2686,170854.11750000002,167420.99455833333,70936.66667,442.0,7.8,3.2,0.2,12019.0,0.5,-0.4999999999999997,-0.8660254037844388
2010-07-01,2010-08-01,173417.4578,173427.1067,170845.9251,164025.3201,171987.1896,168337.9810666667,76003.0,443.0,7.8,3.1,0.1,9178.0,0.5,-0.8660254037844384,-0.5000000000000004
2010-08-01,2010-09-01,172972.0443,173417.4578,171688.537,165313.7701,172844.36716666666,169120.65920833332,69123.0,445.0,7.8,3.1,0.3,11540.0,0.5,-1.0,-1.8369701987210297e-16
2010-09-01,2010-10-01,171044.7244,172972.0443,173427.1067,166424.9027,173272.20293333332,169758.848725,64886.0,446.0,7.9,3.1,0.2,15810.0,0.5,-0.8660254037844386,0.5000000000000001
2010-10-01,2010-11-01,169013.1436,171044.7244,173417.4578,166986.1487,172478.0755,170143.83386666665,66726.33333,447.0,7.9,3.2,0.4,14209.0,0.5,-0.5000000000000004,0.8660254037844384
2010-11-01,2010-12-01,168702.7214,169013.1436,172972.0443,168081.6091,171009.97076666667,170312.75010833333,63565.33333,448.0,7.9,3.3,-0.3,14831.0,0.5,-2.4492935982947064e-16,1.0
2010-12-01,2011-01-01,167300.2404,168702.7214,171044.7244,167468.9299,169586.86313333336,170364.50946666667,63541.33333,449.0,7.9,3.7,-0.9,17031.0,0.5,0.49999999999999994,0.8660254037844387
2011-01-01,2011-02-01,166415.1603,167300.2404,169013.1436,167887.6822,168338.7018,170350.45200833335,42399.0,458.0,7.8,4.0,0.5,1294.0,0.5,0.8660254037844386,0.5000000000000001
2011-02-01,2011-03-01,165648.5379,166415.1603,168702.7214,167877.9508,167472.70736666667,170227.74185000002,44207.0,453.0,7.8,4.4,0.5,9723.0,0.5,1.0,6.123233995736766e-17
2011-03-01,2011-04-01,168218.06,165648.5379,167300.2404,170027.8904,166454.6462,170041.9574416667,52889.0,453.0,7.7,4.0,0.2,13339.0,0.5,0.8660254037844387,-0.4999999999999998
2011-04-01,2011-05-01,167469.7143,168218.06,166415.1603,170845.9251,166760.58606666664,169891.13824166666,57449.0,451.0,7.8,4.5,-0.9,11855.0,0.5,0.49999999999999994,-0.8660254037844387
2011-05-01,2011-06-01,167752.9093,167469.7143,165648.5379,171688.537,167112.10406666665,169609.78734166667,55691.0,453.0,7.9,4.5,1.0,9642.0,0.5,1.2246467991473532e-16,-1.0
2011-06-01,2011-07-01,169865.8121,167752.9093,168218.06,173427.1067,167813.5612,169281.81836666667,65290.0,456.0,8.0,4.2,0.0,9835.0,0.5,-0.4999999999999997,-0.8660254037844388
2011-07-01,2011-08-01,169968.016,169865.8121,167469.7143,173417.4578,168362.8119,168985.04381666667,70316.0,456.0,8.2,4.4,0.2,4609.0,0.5,-0.8660254037844384,-0.5000000000000004
2011-08-01,2011-09-01,169543.5734,169968.016,167752.9093,172972.0443,169195.57913333335,168697.59033333333,72144.0,454.0,8.3,4.5,-0.4,9479.0,0.5,-1.0,-1.8369701987210297e-16
2011-09-01,2011-10-01,167673.168,169543.5734,169865.8121,171044.7244,169792.46716666667,168411.88442500003,71811.0,454.0,8.4,5.2,0.3,13895.0,0.5,-0.8660254037844386,0.5000000000000001
2011-10-01,2011-11-01,167756.8878,167673.168,169968.016,169013.1436,169061.5858,168130.92139166666,65175.0,456.0,8.5,5.0,-0.8,12810.0,0.5,-0.5000000000000004,0.8660254037844384
2011-11-01,2011-12-01,167047.7706,167756.8878,169543.5734,168702.7214,168324.54306666667,168026.23340833336,67798.0,457.0,8.4,4.8,1.1,11223.0,0.5,-2.4492935982947064e-16,1.0
2011-12-01,2012-01-01,165908.4809,167047.7706,167673.168,167300.2404,167492.60880000002,167888.32084166666,70770.0,457.0,8.4,4.2,0.7,13775.0,0.5,0.49999999999999994,0.8660254037844387
2012-01-01,2012-02-01,165457.0798,165908.4809,167756.8878,166415.1603,166904.37976666665,167772.34088333332,49493.33333,457.0,8.3,3.6,0.3,709.0,0.5,0.8660254037844386,0.5000000000000001
2012-02-01,2012-03-01,165947.3274,165457.0798,167047.7706,165648.5379,166137.7771,167692.50084166668,50099.33333,457.0,8.2,3.4,-0.8,10348.0,0.5,1.0,6.123233995736766e-17
2012-03-01,2012-04-01,167854.0205,165947.3274,165908.4809,168218.06,165770.9627,167717.39996666668,69452.33333,457.0,8.2,3.5,0.6,12757.0,0.5,0.8660254037844387,-0.4999999999999998
2012-04-01,2012-05-01,168395.3676,167854.0205,165457.0798,167469.7143,166419.4759,167687.06334166668,50094.33333,460.0,8.1,3.0,-0.7,21562.0,0.5,0.49999999999999994,-0.8660254037844387
2012-05-01,2012-06-01,170049.1636,168395.3676,165947.3274,167752.9093,167398.9051666667,167764.20111666666,59800.33333,460.0,8.0,2.8,1.5,12881.0,0.5,1.2246467991473532e-16,-1.0
2012-06-01,2012-07-01,170701.1966,170049.1636,167854.0205,169865.8121,168766.1839,167955.55564166667,68568.33333,462.0,8.0,2.4,-1.4,8903.0,0.5,-0.4999999999999997,-0.8660254037844388
2012-07-01,2012-08-01,170902.3776,170701.1966,168395.3676,169968.016,169715.2426,168025.17101666666,66631.0,463.0,7.9,2.6,1.7,2278.0,0.5,-0.8660254037844384,-0.5000000000000004
2012-08-01,2012-09-01,170295.1292,170902.3776,170049.1636,169543.5734,170550.9126,168103.03448333332,73921.0,464.0,7.9,2.5,0.5,9954.0,0.5,-1.0,-1.8369701987210297e-16
2012-09-01,2012-10-01,169089.5181,170295.1292,170701.1966,167673.168,170632.90113333333,168165.66413333334,60043.0,462.0,7.9,2.2,-1.3,12946.0,0.5,-0.8660254037844386,0.5000000000000001
2012-10-01,2012-11-01,169227.2509,169089.5181,170902.3776,167756.8878,170095.67496666664,168283.69330833334,66842.0,462.0,7.8,2.7,0.4,11978.0,0.5,-0.5000000000000004,0.8660254037844384
2012-11-01,2012-12-01,168842.8434,169227.2509,170295.1292,167047.7706,169537.2994,168406.22356666665,72293.0,463.0,7.8,2.7,0.2,12067.0,0.5,-2.4492935982947064e-16,1.0
2012-12-01,2013-01-01,167715.5946,168842.8434,169089.5181,165908.4809,169053.20413333332,168555.81296666668,63795.0,461.0,7.8,2.7,-0.2,13878.0,0.5,0.49999999999999994,0.8660254037844387
2013-01-01,2013-02-01,167682.4598,167715.5946,169227.2509,165457.0798,168595.22963333337,168706.405775,49129.0,462.0,8.0,2.7,-0.1,-89.0,0.5,0.8660254037844386,0.5000000000000001
2013-02-01,2013-03-01,168681.4684,167682.4598,168842.8434,165947.3274,168080.29926666667,168891.85410833333,50648.0,462.0,7.8,2.8,0.9,7805.0,0.5,1.0,6.123233995736766e-17
2013-03-01,2013-04-01,170335.3686,168681.4684,167715.5946,167854.0205,168026.5076,169119.69919166664,62193.0,454.0,7.8,2.8,0.0,9398.0,0.5,0.8660254037844387,-0.4999999999999998
2013-04-01,2013-05-01,171233.7538,170335.3686,167682.4598,168395.3676,168899.7656,169326.4782,58520.66667,477.0,7.8,2.4,-0.1,11429.0,0.5,0.49999999999999994,-0.8660254037844387
2013-05-01,2013-06-01,172654.5105,171233.7538,168681.4684,170049.1636,170083.53026666667,169563.01038333334,75383.66667,468.0,7.7,2.7,0.4,9243.0,0.5,1.2246467991473532e-16,-1.0
2013-06-01,2013-07-01,174592.2607,172654.5105,170335.3686,170701.1966,171407.87763333335,169780.122625,75228.66667,466.0,7.7,2.9,0.2,8349.0,0.5,-0.4999999999999997,-0.8660254037844388
2013-07-01,2013-08-01,175982.2931,174592.2607,171233.7538,170902.3776,172826.84166666667,170104.37796666668,82886.0,466.0,7.7,2.8,0.4,3627.0,0.5,-0.8660254037844384,-0.5000000000000004
2013-08-01,2013-09-01,176097.8275,175982.2931,172654.5105,170295.1292,174409.6881,170527.70425833334,89695.0,466.0,7.6,2.7,0.2,8623.0,0.5,-1.0,-1.8369701987210297e-16
2013-09-01,2013-10-01,175378.3971,176097.8275,174592.2607,169089.5181,175557.46043333333,171011.26245,79217.0,466.0,7.4,2.7,0.0,12058.0,0.5,-0.8660254037844386,0.5000000000000001
